Anio,Nombre de cuenca,Cantidad,Poblacion
2008,Ciudad de Mexico,14.89,11.02
2009,Ciudad de Mexico,14.89,14.39
2010,Ciudad de Mexico,14.89,17.76
2011,Ciudad de Mexico,2.51,23.1
2012,Ciudad de Mexico,2.51,28.43
2013,Ciudad de Mexico,2.51,36.45
2014,Ciudad de Mexico,2.51,44.47
2015,Ciudad de Mexico,2.51,51.34
2016,Ciudad de Mexico,2.41631,58.21
2017,Ciudad de Mexico,2.41631,67.25
2018,Ciudad de Mexico,2.41631,72.98
2019,Ciudad de Mexico,2.41631,79.2
2020,Ciudad de Mexico,1.262,86.29
2021,Ciudad de Mexico,1.262,92.04
2022,Ciudad de Mexico,1.262,92.04
2008,Presa Endho,7.46,11.02
2009,Presa Endho,7.46,14.39
2010,Presa Endho,7.46,17.76
2011,Presa Endho,1.38,23.1
2012,Presa Endho,1.38,28.43
2013,Presa Endho,1.38,36.45
2014,Presa Endho,1.38,44.47
2015,Presa Endho,1.38,51.34
2016,Presa Endho,1.28205,58.21
2017,Presa Endho,1.28205,67.25
2018,Presa Endho,1.28205,72.98
2019,Presa Endho,1.28205,79.2
2020,Presa Endho,1.625,86.29
2021,Presa Endho,1.625,92.04
2022,Presa Endho,1.625,92.04
2008,Presa Requena,0.89,11.02
2009,Presa Requena,0.89,14.39
2010,Presa Requena,0.89,17.76
2011,Presa Requena,0.05,23.1
2012,Presa Requena,0.05,28.43
2013,Presa Requena,0.05,36.45
2014,Presa Requena,0.05,44.47
2015,Presa Requena,0.05,51.34
2016,Presa Requena,0.0470185,58.21
2017,Presa Requena,0.0470185,67.25
2018,Presa Requena,0.0470185,72.98
2019,Presa Requena,0.0470185,79.2
2020,Presa Requena,0.046,86.29
2021,Presa Requena,0.046,92.04
2022,Presa Requena,0.046,92.04
2008,Rio Actopan,0.52,11.02
2009,Rio Actopan,0.52,14.39
2010,Rio Actopan,0.52,17.76
2011,Rio Actopan,0.82,23.1
2012,Rio Actopan,0.82,28.43
2013,Rio Actopan,0.82,36.45
2014,Rio Actopan,0.82,44.47
2015,Rio Actopan,0.82,51.34
2016,Rio Actopan,0.765607,58.21
2017,Rio Actopan,0.765607,67.25
2018,Rio Actopan,0.765607,72.98
2019,Rio Actopan,0.765607,79.2
2020,Rio Actopan,0.27,86.29
2021,Rio Actopan,0.27,92.04
2022,Rio Actopan,0.27,92.04
2008,Rio Alfajayucan,1.09,11.02
2009,Rio Alfajayucan,1.09,14.39
2010,Rio Alfajayucan,1.09,17.76
2011,Rio Alfajayucan,0.79,23.1
2012,Rio Alfajayucan,0.79,28.43
2013,Rio Alfajayucan,0.79,36.45
2014,Rio Alfajayucan,0.79,44.47
2015,Rio Alfajayucan,0.79,51.34
2016,Rio Alfajayucan,0.612393,58.21
2017,Rio Alfajayucan,0.612393,67.25
2018,Rio Alfajayucan,0.612393,72.98
2019,Rio Alfajayucan,0.612393,79.2
2020,Rio Alfajayucan,0.938,86.29
2021,Rio Alfajayucan,0.938,92.04
2022,Rio Alfajayucan,0.938,92.04
2008,Rio Cuautitlan,0.36,11.02
2009,Rio Cuautitlan,0.36,14.39
2010,Rio Cuautitlan,0.36,17.76
2011,Rio Cuautitlan,0.13,23.1
2012,Rio Cuautitlan,0.13,28.43
2013,Rio Cuautitlan,0.13,36.45
2014,Rio Cuautitlan,0.13,44.47
2015,Rio Cuautitlan,0.13,51.34
2016,Rio Cuautitlan,0.141026,58.21
2017,Rio Cuautitlan,0.141026,67.25
2018,Rio Cuautitlan,0.141026,72.98
2019,Rio Cuautitlan,0.141026,79.2
2020,Rio Cuautitlan,0.165,86.29
2021,Rio Cuautitlan,0.165,92.04
2022,Rio Cuautitlan,0.165,92.04
2008,Rio de Las Avenidas de Pachuca,0.9,11.02
2009,Rio de Las Avenidas de Pachuca,0.9,14.39
2010,Rio de Las Avenidas de Pachuca,0.9,17.76
2011,Rio de Las Avenidas de Pachuca,0.24,23.1
2012,Rio de Las Avenidas de Pachuca,0.24,28.43
2013,Rio de Las Avenidas de Pachuca,0.24,36.45
2014,Rio de Las Avenidas de Pachuca,0.24,44.47
2015,Rio de Las Avenidas de Pachuca,0.24,51.34
2016,Rio de Las Avenidas de Pachuca,0.233495,58.21
2017,Rio de Las Avenidas de Pachuca,0.233495,67.25
2018,Rio de Las Avenidas de Pachuca,0.233495,72.98
2019,Rio de Las Avenidas de Pachuca,0.233495,79.2
2020,Rio de Las Avenidas de Pachuca,0.122,86.29
2021,Rio de Las Avenidas de Pachuca,0.122,92.04
2022,Rio de Las Avenidas de Pachuca,0.122,92.04
2008,Rio La Compañia,1.11,11.02
2009,Rio La Compañia,1.11,14.39
2010,Rio La Compañia,1.11,17.76
2011,Rio La Compañia,0.18,23.1
2012,Rio La Compañia,0.18,28.43
2013,Rio La Compañia,0.18,36.45
2014,Rio La Compañia,0.18,44.47
2015,Rio La Compañia,0.18,51.34
2016,Rio La Compañia,0.180975,58.21
2017,Rio La Compañia,0.180975,67.25
2018,Rio La Compañia,0.180975,72.98
2019,Rio La Compañia,0.180975,79.2
2020,Rio La Compañia,0.09,86.29
2021,Rio La Compañia,0.09,92.04
2022,Rio La Compañia,0.09,92.04
2008,Rio Salado,10.31,11.02
2009,Rio Salado,10.31,14.39
2010,Rio Salado,10.31,17.76
2011,Rio Salado,3.1,23.1
2012,Rio Salado,3.1,28.43
2013,Rio Salado,3.1,36.45
2014,Rio Salado,3.1,44.47
2015,Rio Salado,3.1,51.34
2016,Rio Salado,2.92359,58.21
2017,Rio Salado,2.92359,67.25
2018,Rio Salado,2.92359,72.98
2019,Rio Salado,2.92359,79.2
2020,Rio Salado,2.802,86.29
2021,Rio Salado,2.802,92.04
2022,Rio Salado,2.802,92.04
2008,Rio Tula,24.79,11.02
2009,Rio Tula,24.79,14.39
2010,Rio Tula,24.79,17.76
2011,Rio Tula,11.81,23.1
2012,Rio Tula,11.81,28.43
2013,Rio Tula,11.81,36.45
2014,Rio Tula,11.81,44.47
2015,Rio Tula,11.81,51.34
2016,Rio Tula,11.0318,58.21
2017,Rio Tula,11.0318,67.25
2018,Rio Tula,11.0318,72.98
2019,Rio Tula,11.0318,79.2
2020,Rio Tula,10.136,86.29
2021,Rio Tula,10.136,92.04
2022,Rio Tula,10.136,92.04
2008,Texcoco,0.37,11.02
2009,Texcoco,0.37,14.39
2010,Texcoco,0.37,17.76
2011,Texcoco,0.1,23.1
2012,Texcoco,0.1,28.43
2013,Texcoco,0.1,36.45
2014,Texcoco,0.1,44.47
2015,Texcoco,0.1,51.34
2016,Texcoco,0.107974,58.21
2017,Texcoco,0.107974,67.25
2018,Texcoco,0.107974,72.98
2019,Texcoco,0.107974,79.2
2020,Texcoco,0.058,86.29
2021,Texcoco,0.058,92.04
2022,Texcoco,0.058,92.04
2008,Tochac-Tecocomulco,0.18,11.02
2009,Tochac-Tecocomulco,0.18,14.39
2010,Tochac-Tecocomulco,0.18,17.76
2011,Tochac-Tecocomulco,0.04,23.1
2012,Tochac-Tecocomulco,0.04,28.43
2013,Tochac-Tecocomulco,0.04,36.45
2014,Tochac-Tecocomulco,0.04,44.47
2015,Tochac-Tecocomulco,0.04,51.34
2016,Tochac-Tecocomulco,0.0375572,58.21
2017,Tochac-Tecocomulco,0.0375572,67.25
2018,Tochac-Tecocomulco,0.0375572,72.98
