Año,Clave Región,Región hidrológica,Descripcion,RHA,Clave RHA,Nombre de cuenca,Clave cuenca,Parámetro,Unidad de medida,Cantidad
2008,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,14.89
2009,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,14.89
2010,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,14.89
2011,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.51
2012,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.51
2013,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.51
2014,24,Pánuco,Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios hasta las cuencas hidrológicas Presa Endho y Río Salado.,Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.51
2015,24,Pánuco,"Ciudad de México: Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta las cuencas hidrológicas Presa Endhó y Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.51
2016,24,Pánuco,"Ciudad de México: Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta las cuencas hidrológicas Presa Endhó y Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.41631
2017,24,Pánuco,"Río Cazones: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.41631
2018,24,Pánuco,"Ciudad de México: Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta las cuencas hidrológicas Presa Endhó y Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.41631
2019,24,Pánuco,"Desde el nacimiento de pequeñas corrientes, hasta su desembocabura en el Golfo de México",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,2.41631
2020,24,Pánuco,"Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta la cuenca hidrológica Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,1.262
2021,24,Pánuco,"Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta la cuenca hidrológica Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,1.262
2022,24,Pánuco,"Desde el nacimiento de los ríos Magdalena y Hondo o Los Remedios, hasta la cuenca hidrológica Río Salado.",Aguas del Valle de México,XIII,Ciudad de México,2670,DisponibilidadMediaAnual,hm³,1.262
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,7.46
2009,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,7.46
2010,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,7.46
2011,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.38
