Anio,Nombre de cuenca,Cantidad
2008,Ciudad de Mexico,14.89
2009,Ciudad de Mexico,14.89
2010,Ciudad de Mexico,14.89
2011,Ciudad de Mexico,2.51
2012,Ciudad de Mexico,2.51
2013,Ciudad de Mexico,2.51
2014,Ciudad de Mexico,2.51
2015,Ciudad de Mexico,2.51
2016,Ciudad de Mexico,2.41631
2017,Ciudad de Mexico,2.41631
2018,Ciudad de Mexico,2.41631
2019,Ciudad de Mexico,2.41631
2020,Ciudad de Mexico,1.262
2021,Ciudad de Mexico,1.262
2022,Ciudad de Mexico,1.262
2008,Presa Endho,7.46
2009,Presa Endho,7.46
2010,Presa Endho,7.46
2011,Presa Endho,1.38
2012,Presa Endho,1.38
2013,Presa Endho,1.38
2014,Presa Endho,1.38
2015,Presa Endho,1.38
2016,Presa Endho,1.28205
2017,Presa Endho,1.28205
2018,Presa Endho,1.28205
2019,Presa Endho,1.28205
2020,Presa Endho,1.625
2021,Presa Endho,1.625
2022,Presa Endho,1.625
2008,Presa Requena,0.89
2009,Presa Requena,0.89
2010,Presa Requena,0.89
2011,Presa Requena,0.05
2012,Presa Requena,0.05
2013,Presa Requena,0.05
2014,Presa Requena,0.05
2015,Presa Requena,0.05
2016,Presa Requena,0.0470185
2017,Presa Requena,0.0470185
2018,Presa Requena,0.0470185
2019,Presa Requena,0.0470185
2020,Presa Requena,0.046
2021,Presa Requena,0.046
2022,Presa Requena,0.046
2008,Rio Actopan,0.52
2009,Rio Actopan,0.52
2010,Rio Actopan,0.52
2011,Rio Actopan,0.82
2012,Rio Actopan,0.82
2013,Rio Actopan,0.82
2014,Rio Actopan,0.82
2015,Rio Actopan,0.82
2016,Rio Actopan,0.765607
2017,Rio Actopan,0.765607
2018,Rio Actopan,0.765607
2019,Rio Actopan,0.765607
2020,Rio Actopan,0.27
2021,Rio Actopan,0.27
2022,Rio Actopan,0.27
2008,Rio Alfajayucan,1.09
2009,Rio Alfajayucan,1.09
2010,Rio Alfajayucan,1.09
2011,Rio Alfajayucan,0.79
2012,Rio Alfajayucan,0.79
2013,Rio Alfajayucan,0.79
2014,Rio Alfajayucan,0.79
2015,Rio Alfajayucan,0.79
2016,Rio Alfajayucan,0.612393
2017,Rio Alfajayucan,0.612393
2018,Rio Alfajayucan,0.612393
2019,Rio Alfajayucan,0.612393
2020,Rio Alfajayucan,0.938
2021,Rio Alfajayucan,0.938
2022,Rio Alfajayucan,0.938
2008,Rio Cuautitlan,0.36
2009,Rio Cuautitlan,0.36
2010,Rio Cuautitlan,0.36
2011,Rio Cuautitlan,0.13
2012,Rio Cuautitlan,0.13
2013,Rio Cuautitlan,0.13
2014,Rio Cuautitlan,0.13
